Designator,Footprint,Quantity,Value,LCSC Part #
D1,LED_D5.0mm-4_RGB,1,WS2812B_5mm_Through_hole,
"J1, J2",PinHeader_1x02_P2.54mm_Horizontal,2,Conn_01x02_Pin,
